group,images,gt_boxes,class_id,class_name,predictions,map50,map50_95,precision,recall,f1,best_f1_confidence,mean_iou_matched
basketball,24,93,0,player,17,0.087609,0.022291,0.588235,0.107527,0.181818,0.001,0.61015
basketball,24,0,9,class_9,3,,,,,,,0.0
basketball,24,0,11,class_11,9,,,,,,,0.0
basketball,24,0,14,class_14,1,,,,,,,0.0
basketball,24,0,32,class_32,66,,,,,,,0.0
basketball,24,0,38,class_38,1,,,,,,,0.0
basketball,24,0,41,class_41,5,,,,,,,0.0
basketball,24,0,56,class_56,1,,,,,,,0.0
basketball,24,0,61,class_61,2,,,,,,,0.0
basketball,24,0,72,class_72,8,,,,,,,0.0
basketball,24,0,73,class_73,1,,,,,,,0.0
basketball,24,0,75,class_75,2,,,,,,,0.0
football,24,91,0,player,5,0.0,0.0,0.0,0.0,0.0,0.001,0.0
football,24,0,11,class_11,26,,,,,,,0.0
football,24,0,12,class_12,1,,,,,,,0.0
football,24,0,14,class_14,3,,,,,,,0.0
football,24,0,32,class_32,83,,,,,,,0.0
football,24,0,41,class_41,1,,,,,,,0.0
football,24,0,61,class_61,10,,,,,,,0.0
overall,72,284,0,player,28,0.028218,0.007481,0.357143,0.035211,0.064103,0.001,0.61015
overall,72,0,9,class_9,4,,,,,,,0.0
overall,72,0,11,class_11,35,,,,,,,0.0
overall,72,0,12,class_12,1,,,,,,,0.0
overall,72,0,14,class_14,4,,,,,,,0.0
overall,72,0,32,class_32,218,,,,,,,0.0
overall,72,0,38,class_38,3,,,,,,,0.0
overall,72,0,41,class_41,6,,,,,,,0.0
overall,72,0,56,class_56,1,,,,,,,0.0
overall,72,0,61,class_61,12,,,,,,,0.0
overall,72,0,72,class_72,8,,,,,,,0.0
overall,72,0,73,class_73,1,,,,,,,0.0
overall,72,0,75,class_75,2,,,,,,,0.0
volleyball,24,100,0,player,6,0.0,0.0,0.0,0.0,0.0,0.001,0.0
volleyball,24,0,9,class_9,1,,,,,,,0.0
volleyball,24,0,32,class_32,69,,,,,,,0.0
volleyball,24,0,38,class_38,2,,,,,,,0.0
